IMEI 1,Product Model,Color,Distributor
860150063410114,OPPO A17K (3+64GB),Blue,GOEL MOBILE & SAMARTH ELECTRONICS ! GREATER NOIDA
860150063412177,OPPO A17K (3+64GB),Blue,Anuska mobile center 2 ! GREATER NOIDA
860150063416178,OPPO A17K (3+64GB),Blue,Noor Communication ! GREATER NOIDA
860150063570651,OPPO A17K (3+64GB),Gold,M.R. COMMUNICATION (KASNA) ! GREATER NOIDA
860150063630018,OPPO A17K (3+64GB),Gold,Royal mobile house and electronics ! GREATER NOIDA
860150063644910,OPPO A17K (3+64GB),Gold,OM COMMUNICATION ! GREATER NOIDA
860150063648119,OPPO A17K (3+64GB),Gold,SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA
860150063652392,OPPO A17K (3+64GB),Gold,JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA
860150063653051,OPPO A17K (3+64GB),Gold,Shyam Lal & Sons ! GREATER NOIDA
860150063670311,OPPO A17K (3+64GB),Blue,I Store ! GREATER NOIDA
860150064119730,OPPO A17K (3+64GB),Gold,PANDEY COMMUNICATION ! GREATER NOIDA
860150064122890,OPPO A17K (3+64GB),Gold,Sanjay Communication(Sec-93) ! GREATER NOIDA
860150064123112,OPPO A17K (3+64GB),Gold,A TO Z MOBILE ! GREATER NOIDA
860150064123138,OPPO A17K (3+64GB),Gold,NEW UNIVERSAL OFFICE SYSTEM ! GREATER NOIDA
860150064123153,OPPO A17K (3+64GB),Gold,NEW UNIVERSAL OFFICE SYSTEM ! GREATER NOIDA
860150064123211,OPPO A17K (3+64GB),Gold,Anupam telecom ! GREATER NOIDA
860150064123237,OPPO A17K (3+64GB),Gold,KRISHNA TELECOM (GN) ! GREATER NOIDA
860150064123252,OPPO A17K (3+64GB),Gold,Anupam telecom ! GREATER NOIDA
860150064163233,OPPO A17K (3+64GB),Gold,S.M TRADER (KASNA) ! GREATER NOIDA
860150064163373,OPPO A17K (3+64GB),Gold,VISHAL MOBILE HOUSE ! GREATER NOIDA
860150064163498,OPPO A17K (3+64GB),Gold,JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA
860150064163613,OPPO A17K (3+64GB),Gold,Tanish Telecom(Surajpur) ! GREATER NOIDA
860150064164413,OPPO A17K (3+64GB),Gold,ATUL TELECOM CENTRE (KASNA) ! GREATER NOIDA
860150064164975,OPPO A17K (3+64GB),Gold,S.M TRADER (KASNA) ! GREATER NOIDA
860150064258991,OPPO A17K (3+64GB),Gold,Shyam Lal & Sons ! GREATER NOIDA
860150064259072,OPPO A17K (3+64GB),Gold,SHIV TRADERS (SURAJPUR) ! GREATER NOIDA
860150064259155,OPPO A17K (3+64GB),Gold,KRISHNA TELECOM (GN) ! GREATER NOIDA
860150064259213,OPPO A17K (3+64GB),Gold,POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
860150064449830,OPPO A17K (3+64GB),Gold,Shyam Lal & Sons ! GREATER NOIDA
860150064449897,OPPO A17K (3+64GB),Gold,Noor Communication ! GREATER NOIDA
860150064706155,OPPO A17K (3+64GB),Blue,SHIV TRADERS (SURAJPUR) ! GREATER NOIDA
860150064706312,OPPO A17K (3+64GB),Blue,KRISHNA TELECOM (GN) ! GREATER NOIDA
860150064706734,OPPO A17K (3+64GB),Blue,SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA
860150064865696,OPPO A17K (3+64GB),Blue,KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
860150064866298,OPPO A17K (3+64GB),Blue,KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
860150064866934,OPPO A17K (3+64GB),Blue,KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
860150064874391,OPPO A17K (3+64GB),Blue,BALAJI MOBILE & ELECTRONICS (DADRI) ! GREATER NOIDA
860150064874896,OPPO A17K (3+64GB),Blue,S.M TRADER (KASNA) ! GREATER NOIDA
860150064875331,OPPO A17K (3+64GB),Blue,Tanish Telecom(Surajpur) ! GREATER NOIDA
860150064878012,OPPO A17K (3+64GB),Blue,Noor Communication ! GREATER NOIDA
860150064879291,OPPO A17K (3+64GB),Blue,JRB TELECOM ! GREATER NOIDA
860150064879739,OPPO A17K (3+64GB),Blue,KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
860150064881016,OPPO A17K (3+64GB),Blue,Anupam telecom ! GREATER NOIDA
860150064888037,OPPO A17K (3+64GB),Blue,Shyam Lal & Sons ! GREATER NOIDA
860150064890298,OPPO A17K (3+64GB),Blue,Keshav Mobile Point(Sec-32) ! GREATER NOIDA
860150064890975,OPPO A17K (3+64GB),Blue,Shyam Lal & Sons ! GREATER NOIDA
860150064891478,OPPO A17K (3+64GB),Blue,Noble Mobile Shope ! GREATER NOIDA
860150064891916,OPPO A17K (3+64GB),Blue,S.M TRADER (KASNA) ! GREATER NOIDA
860150064893532,OPPO A17K (3+64GB),Blue,Noor Communication ! GREATER NOIDA
860150064895479,OPPO A17K (3+64GB),Blue,ATUL TELECOM CENTRE (KASNA) ! GREATER NOIDA
860150065366793,OPPO A17K (3+64GB),Navy Blue,PANDEY COMMUNICATION ! GREATER NOIDA
860150065380315,OPPO A17K (3+64GB),Navy Blue,Noor Communication ! GREATER NOIDA
860150065719710,OPPO A17K (3+64GB),Navy Blue,SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA
860150065720437,OPPO A17K (3+64GB),Navy Blue,Jai Ambey Communication ! GREATER NOIDA
860150065729933,OPPO A17K (3+64GB),Navy Blue,Anupam telecom ! GREATER NOIDA
860150065730295,OPPO A17K (3+64GB),Navy Blue,BRS ELECTRONICS (KASNA) ! GREATER NOIDA
860150065730915,OPPO A17K (3+64GB),Navy Blue,POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
860150065731434,OPPO A17K (3+64GB),Navy Blue,Noor Communication ! GREATER NOIDA
860150065731574,OPPO A17K (3+64GB),Navy Blue,NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA
860150065731699,OPPO A17K (3+64GB),Navy Blue,Shyam Lal & Sons ! GREATER NOIDA
860150065731715,OPPO A17K (3+64GB),Navy Blue,Shyam Lal & Sons ! GREATER NOIDA
860150065732770,OPPO A17K (3+64GB),Navy Blue,Shyam Lal & Sons ! GREATER NOIDA
860150065733950,OPPO A17K (3+64GB),Navy Blue,Anupam telecom ! GREATER NOIDA
860150065734032,OPPO A17K (3+64GB),Navy Blue,S N COMMUNICATION (HALDONI) ! GREATER NOIDA
860150065734214,OPPO A17K (3+64GB),Navy Blue,SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA
860150065734693,OPPO A17K (3+64GB),Navy Blue,V.K Mobile Point (HALDONI) ! GREATER NOIDA
860150065735096,OPPO A17K (3+64GB),Navy Blue,V.K Mobile Point (HALDONI) ! GREATER NOIDA
860150065735799,OPPO A17K (3+64GB),Navy Blue,OM COMMUNICATION ! GREATER NOIDA
860150065736151,OPPO A17K (3+64GB),Navy Blue,JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA
860150065736391,OPPO A17K (3+64GB),Navy Blue,VISHAL MOBILE HOUSE ! GREATER NOIDA
860150065738215,OPPO A17K (3+64GB),Navy Blue,S N COMMUNICATION (HALDONI) ! GREATER NOIDA
860150065738231,OPPO A17K (3+64GB),Navy Blue,V.K Mobile Point (HALDONI) ! GREATER NOIDA
860150065738652,OPPO A17K (3+64GB),Navy Blue,Noor Communication ! GREATER NOIDA
860150065901235,OPPO A17K (3+64GB),Blue,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
860150065917777,OPPO A17K (3+64GB),Blue,Anupam telecom ! GREATER NOIDA
860150065922272,OPPO A17K (3+64GB),Blue,S N COMMUNICATION (HALDONI) ! GREATER NOIDA
860150065925317,OPPO A17K (3+64GB),Blue,V.K Mobile Point (HALDONI) ! GREATER NOIDA
860150065925457,OPPO A17K (3+64GB),Blue,OM COMMUNICATION ! GREATER NOIDA
860150065925994,OPPO A17K (3+64GB),Blue,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
860150065926158,OPPO A17K (3+64GB),Blue,Anupam telecom ! GREATER NOIDA
860150065926257,OPPO A17K (3+64GB),Blue,S N COMMUNICATION (HALDONI) ! GREATER NOIDA
860150065926299,OPPO A17K (3+64GB),Blue,PANDEY COMMUNICATION ! GREATER NOIDA
860150066044035,OPPO A17K (3+64GB),Blue,JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA
860150066049315,OPPO A17K (3+64GB),Blue,SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA
860150066074339,OPPO A17K (3+64GB),Blue,POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
860150066075237,OPPO A17K (3+64GB),Blue,NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA
860150066075252,OPPO A17K (3+64GB),Blue,Anupam telecom ! GREATER NOIDA
860150066075393,OPPO A17K (3+64GB),Blue,Shyam Lal & Sons ! GREATER NOIDA
860150066075633,OPPO A17K (3+64GB),Blue,SHREE BABA COMMUNICATION (KASNA) ! GREATER NOIDA
860150066075914,OPPO A17K (3+64GB),Blue,Shyam Lal & Sons ! GREATER NOIDA
860150066138274,OPPO A17K (3+64GB),Blue,Jai Ambey Communication ! GREATER NOIDA
860150066142318,OPPO A17K (3+64GB),Blue,V.K Mobile Point (HALDONI) ! GREATER NOIDA
860150066142474,OPPO A17K (3+64GB),Blue,Jai Ambey Communication ! GREATER NOIDA
860150066145071,OPPO A17K (3+64GB),Blue,Royal mobile house and electronics ! GREATER NOIDA
860150066146012,OPPO A17K (3+64GB),Blue,SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA
860150066146178,OPPO A17K (3+64GB),Blue,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
860150066146210,OPPO A17K (3+64GB),Blue,VISHAL MOBILE HOUSE ! GREATER NOIDA
860150066147853,OPPO A17K (3+64GB),Blue,MOBILE SHINGAR (DADRI) ! GREATER NOIDA
860150066150071,OPPO A17K (3+64GB),Blue,Sanjay Communication(Sec-93) ! GREATER NOIDA
860150066155435,OPPO A17K (3+64GB),Blue,Dev Communication (AICHER) ! GREATER NOIDA
860150066155518,OPPO A17K (3+64GB),Blue,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
860150066352032,OPPO A17K (3+64GB),Gold,Anupam telecom ! GREATER NOIDA
860150066354855,OPPO A17K (3+64GB),Gold,VISHAL MOBILE HOUSE ! GREATER NOIDA
860150066361454,OPPO A17K (3+64GB),Gold,POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
860150066391352,OPPO A17K (3+64GB),Gold,Anuska mobile center 2 ! GREATER NOIDA
860150066391873,OPPO A17K (3+64GB),Gold,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
860150066391972,OPPO A17K (3+64GB),Gold,SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA
860150066392111,OPPO A17K (3+64GB),Gold,Anuska mobile center 2 ! GREATER NOIDA
860150066464472,OPPO A17K (3+64GB),Gold,Noor Communication ! GREATER NOIDA
860150066465156,OPPO A17K (3+64GB),Gold,Anupam telecom ! GREATER NOIDA
860150066465230,OPPO A17K (3+64GB),Gold,Noor Communication ! GREATER NOIDA
860150066465370,OPPO A17K (3+64GB),Gold,Noor Communication ! GREATER NOIDA
860150066469216,OPPO A17K (3+64GB),Gold,Noor Communication ! GREATER NOIDA
860150066469299,OPPO A17K (3+64GB),Gold,V.K Mobile Point (HALDONI) ! GREATER NOIDA
860150066469331,OPPO A17K (3+64GB),Gold,Royal mobile house and electronics ! GREATER NOIDA
860150066469612,OPPO A17K (3+64GB),Gold,OM COMMUNICATION ! GREATER NOIDA
860150066469653,OPPO A17K (3+64GB),Gold,V.K Mobile Point (HALDONI) ! GREATER NOIDA
860150066469695,OPPO A17K (3+64GB),Gold,Anupam telecom ! GREATER NOIDA
860474063841932,OPPO A16K & E (3+32GB),White,JAI AMBEY COMMUNICATION ENTERPRISES ! GREATER NOIDA
860489060836339,OPPO F21s Pro (8+128GB),Dawnlight Gold,UNIVERSAL MOBILE CAFE ! GREATER NOIDA
860489060843210,OPPO F21s Pro (8+128GB),Dawnlight Gold,VAISHNAV TELECOM ( ANSAL PLAZA) ! GREATER NOIDA
860489061862672,OPPO F21s Pro (8+128GB),Starlight Black,UNIVERSAL MOBILE CAFE ! GREATER NOIDA
860489061944256,OPPO F21s Pro (8+128GB),Starlight Black,KRISHNA TELECOM (GN) ! GREATER NOIDA
860489061944496,OPPO F21s Pro (8+128GB),Starlight Black,Sanjay Communication(Sec-93) ! GREATER NOIDA
860489061944835,OPPO F21s Pro (8+128GB),Starlight Black,Royal mobile house and electronics ! GREATER NOIDA
860489061945154,OPPO F21s Pro (8+128GB),Starlight Black,KRISHNA TELECOM (GN) ! GREATER NOIDA
860489061945832,OPPO F21s Pro (8+128GB),Starlight Black,KRISHNA TELECOM (GN) ! GREATER NOIDA
860489062684992,OPPO F21s Pro (8+128GB),Dawnlight Gold,JAI AMBEY COMMUNICATION ENTERPRISES ! GREATER NOIDA
860489065460291,OPPO F21s Pro (8+128GB),Dawnlight Gold,Computer Wizard ! GREATER NOIDA
860489066239215,OPPO F21s Pro (8+128GB),Dawnlight Gold,JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA
860489066290176,OPPO F21s Pro (8+128GB),Dawnlight Gold,Famous Mobile Point ! GREATER NOIDA
860489066819719,OPPO F21s Pro (8+128GB),Starlight Black,Computer Wizard ! GREATER NOIDA
860489066987730,OPPO F21s Pro (8+128GB),Dawnlight Gold,Shyam Lal & Sons ! GREATER NOIDA
860489067663751,OPPO F21s Pro (8+128GB),Dawnlight Gold,NEW UNIVERSAL OFFICE SYSTEM ! GREATER NOIDA
860489067855910,OPPO F21s Pro (8+128GB),Dawnlight Gold,Computer Wizard ! GREATER NOIDA
860489067856298,OPPO F21s Pro (8+128GB),Dawnlight Gold,I Store ! GREATER NOIDA
860489067926737,OPPO F21s Pro (8+128GB),Starlight Black,Tanish Telecom(Surajpur) ! GREATER NOIDA
860489068622251,OPPO F21s Pro (8+128GB),Dawnlight Gold,Noor Communication ! GREATER NOIDA
860489069197733,OPPO F21s Pro (8+128GB),Dawnlight Gold,S N COMMUNICATION (HALDONI) ! GREATER NOIDA
860489069360398,OPPO F21s Pro (8+128GB),Dawnlight Gold,Sanjay Communication(Sec-93) ! GREATER NOIDA
860489069360752,OPPO F21s Pro (8+128GB),Dawnlight Gold,SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
860489069363996,OPPO F21s Pro (8+128GB),Dawnlight Gold,Jai Ambey Communication ! GREATER NOIDA
860489069368052,OPPO F21s Pro (8+128GB),Dawnlight Gold,Tanish Telecom(Surajpur) ! GREATER NOIDA
860489069415432,OPPO F21s Pro (8+128GB),Dawnlight Gold,Anupam telecom ! GREATER NOIDA
860489069418097,OPPO F21s Pro (8+128GB),Dawnlight Gold,Anupam telecom ! GREATER NOIDA
860489069418196,OPPO F21s Pro (8+128GB),Dawnlight Gold,KRISHNA TELECOM (GN) ! GREATER NOIDA
860489069418279,OPPO F21s Pro (8+128GB),Dawnlight Gold,BRS ELECTRONICS (KASNA) ! GREATER NOIDA
860489069764599,OPPO F21s Pro (8+128GB),Starlight Black,KASHISH COMMUNICATION ! GREATER NOIDA
860489069817553,OPPO F21s Pro (8+128GB),Starlight Black,Noor Communication ! GREATER NOIDA
860489069969917,OPPO F21s Pro (8+128GB),Starlight Black,SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA
860489069970857,OPPO F21s Pro (8+128GB),Starlight Black,Shyam Lal & Sons ! GREATER NOIDA
860578061438374,OPPO A17 (4+64GB),Midnight Black,SACHIN TELECOM AND MOBILE SHOP ! GREATER NOIDA
860578062641018,OPPO A17 (4+64GB),Sunlight Orange,UNIVERSAL MOBILE CAFE ! GREATER NOIDA
860578062641810,OPPO A17 (4+64GB),Sunlight Orange,UNIVERSAL MOBILE CAFE ! GREATER NOIDA
860578062642297,OPPO A17 (4+64GB),Sunlight Orange,UNIVERSAL MOBILE CAFE ! GREATER NOIDA
860578062757970,OPPO A17 (4+64GB),Midnight Black,UNIVERSAL MOBILE CAFE ! GREATER NOIDA
860578062933357,OPPO A17 (4+64GB),Sunlight Orange,SACHIN TELECOM AND MOBILE SHOP ! GREATER NOIDA
860578062934074,OPPO A17 (4+64GB),Sunlight Orange,SACHIN TELECOM AND MOBILE SHOP ! GREATER NOIDA
860578068381676,OPPO A17 (4+64GB),Sunlight Orange,Dev Communication (AICHER) ! GREATER NOIDA
861014058520155,OPPO A16K & E (4+64GB),Midnight Black,MOBILE SHINGAR (DADRI) ! GREATER NOIDA
861111051691452,OPPO A16K & E (4+64GB),Blue,PRAVEEN MOBILE CENTER -2 ! GREATER NOIDA
861111052416917,OPPO A16K & E (4+64GB),White,Noor Communication ! GREATER NOIDA
861148063276112,OPPO A96 (8+128GB),Starry Black,Om Sai Communication( Greater Noida) ! GREATER NOIDA
861148064062552,OPPO A96 (8+128GB),Starry Black,PRAVEEN MOBILE CENTRE (SURJPUR) ! GREATER NOIDA
861148066166336,OPPO A96 (8+128GB),Starry Black,Anupam telecom ! GREATER NOIDA
861148066198370,OPPO A96 (8+128GB),Starry Black,VISHAL MOBILE HOUSE ! GREATER NOIDA
861148067422019,OPPO A96 (8+128GB),Sunset Blue,PRAVEEN MOBILE CENTRE (SURJPUR) ! GREATER NOIDA
861148068362917,OPPO A96 (8+128GB),Sunset Blue,SACHIN TELECOM AND MOBILE SHOP ! GREATER NOIDA
861175050718830,OPPO A55 (4+64GB),Rainbow Blue,PRAVEEN MOBILE CENTRE (SURJPUR) ! GREATER NOIDA
861175053102313,OPPO A55 (6+128GB),Mint Green,PRAVEEN MOBILE CENTRE (SURJPUR) ! GREATER NOIDA
861175053455851,OPPO A55 (6+128GB),Rainbow Blue,PRAVEEN MOBILE CENTRE (SURJPUR) ! GREATER NOIDA
861175054287352,OPPO A55 (6+128GB),Rainbow Blue,Tanish Telecom(Surajpur) ! GREATER NOIDA
861175055911836,OPPO A55 (6+128GB),Rainbow Blue,TOMAR ELECTRONICS ! GREATER NOIDA
861175056147737,OPPO A55 (6+128GB),Rainbow Blue,R K TELECOM (TUGALPUR) ! GREATER NOIDA
861175056151911,OPPO A55 (6+128GB),Rainbow Blue,Famous Mobile Point ! GREATER NOIDA
861175056152091,OPPO A55 (6+128GB),Rainbow Blue,Famous Mobile Point ! GREATER NOIDA
861175056226416,OPPO A55 (6+128GB),Rainbow Blue,Tanish Telecom(Surajpur) ! GREATER NOIDA
861363061199717,OPPO A96 (8+128GB),Starry Black,Jai Ambey Communication ! GREATER NOIDA
861950056818093,OPPO F21 Pro (8+128GB),Sunset Orange,UNIVERSAL MOBILE CAFE ! GREATER NOIDA
861950057417796,OPPO F21 Pro (8+128GB),Sunset Orange,AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA
861950058166376,OPPO F21 Pro (8+128GB),Sunset Orange,VAISHNAV TELECOM ( ANSAL PLAZA) ! GREATER NOIDA
862047063533374,OPPO A17 (4+64GB),Sunlight Orange,PRAVEEN MOBILE CENTER -2 ! GREATER NOIDA
862047063534836,OPPO A17 (4+64GB),Sunlight Orange,Shiv telecom ! GREATER NOIDA
862047064245655,OPPO A17 (4+64GB),Sunlight Orange,R K TELECOM (TUGALPUR) ! GREATER NOIDA
862047065167817,OPPO A17 (4+64GB),Sunlight Orange,V.K Mobile Point (HALDONI) ! GREATER NOIDA
862047065168138,OPPO A17 (4+64GB),Sunlight Orange,SATNAM MOBILE STORE ! GREATER NOIDA
862047066909597,OPPO A17 (4+64GB),Sunlight Orange,Famous Mobile Point ! GREATER NOIDA
862047067623437,OPPO A17 (4+64GB),Lake Blue,SHREE RAM MOBILE GALLERY ! GREATER NOIDA
862047068225950,OPPO A17 (4+64GB),Sunlight Orange,VAISHNAV TELECOM ( ANSAL PLAZA) ! GREATER NOIDA
