IMEI 1,Product Model,Color,Distributor,Verification Time
866875066743392,OPPO F21s Pro 5G (8+128GB),Dawnlight Gold,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-02 22:01:24
864397066103339,OPPO A57 (4+64GB),Glowing Black,Jai Ambey Communication ! GREATER NOIDA,2023-03-02 22:10:12
862611060442853,OPPO A17 (4+64GB),Midnight Black,Jai Ambey Communication ! GREATER NOIDA,2023-03-02 22:10:29
867426064725137,OPPO Reno8 T 5G (8+128GB),Sunrise Gold,Jai Ambey Communication ! GREATER NOIDA,2023-03-02 22:12:13
864397064944379,OPPO A57 (4+64GB),Glowing Green,Anuska mobile center 2 ! GREATER NOIDA,2023-03-02 22:12:55
864904061332811,OPPO F21s Pro 5G (8+128GB),Dawnlight Gold,NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA,2023-03-02 22:21:31
866102051580535,OPPO A55 (4+128GB),Mint Green,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-02 22:38:12
864904060508692,OPPO F21s Pro 5G (8+128GB),Starlight Black,Noble Mobile Shope ! GREATER NOIDA,2023-03-02 22:50:34
866102052049373,OPPO A55 (4+128GB),Starry Black,Noble Mobile Shope ! GREATER NOIDA,2023-03-02 22:51:37
860109066400498,OPPO A17K (3+64GB),Navy Blue,Noor Communication ! GREATER NOIDA,2023-03-03 09:55:42
867426064606097,OPPO Reno8 T 5G (8+128GB),Sunrise Gold,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-03 11:02:48
863581066588398,OPPO A57 (4+64GB),Gold,SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA,2023-03-03 11:23:14
867443061404194,OPPO A77 (4+128GB),Sunset Orange,Shyam Lal & Sons ! GREATER NOIDA,2023-03-03 11:31:31
866102052574032,OPPO A55 (4+128GB),Rainbow Blue,Noor Communication ! GREATER NOIDA,2023-03-03 11:31:58
864397065991056,OPPO A57 (4+64GB),Glowing Black,KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA,2023-03-03 11:34:48
866194067624753,OPPO A78 5G (8+128GB),Glowing Black,KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA,2023-03-03 11:40:36
867443062815851,OPPO A77 (4+128GB),Sky Blue,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA,2023-03-03 12:07:44
864397065902897,OPPO A57 (4+64GB),Glowing Green,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-03 13:40:10
864397066292116,OPPO A57 (4+64GB),Glowing Green,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-03 13:40:22
864397063276856,OPPO A57 (4+64GB),Gold,NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA,2023-03-03 14:14:46
862498069781378,OPPO A17 (4+64GB),Midnight Black,NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA,2023-03-03 14:16:12
862611060413854,OPPO A17 (4+64GB),Sunlight Orange,SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA,2023-03-03 14:33:27
864397065099579,OPPO A57 (4+64GB),Glowing Green,KRISHNA TELECOM (GN) ! GREATER NOIDA,2023-03-03 14:35:48
867443062816610,OPPO A77 (4+128GB),Sky Blue,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-03 14:45:12
860109067557916,OPPO A17K (3+64GB),Navy Blue,SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA,2023-03-03 15:00:52
866102052005995,OPPO A55 (4+128GB),Starry Black,Sanjay Communication(Sec-93) ! GREATER NOIDA,2023-03-03 15:19:38
867426064654154,OPPO Reno8 T 5G (8+128GB),Sunrise Gold,Jai Ambey Communication ! GREATER NOIDA,2023-03-03 15:47:00
866194067230031,OPPO A78 5G (8+128GB),Glowing Blue,Jai Ambey Communication ! GREATER NOIDA,2023-03-03 15:49:03
864904061718837,OPPO F21s Pro 5G (8+128GB),Dawnlight Gold,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA,2023-03-03 16:22:20
864397065442696,OPPO A57 (4+64GB),Glowing Black,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA,2023-03-03 16:22:20
860150064449756,OPPO A17K (3+64GB),Gold,JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA,2023-03-03 16:28:09
862611061376118,OPPO A17 (4+64GB),Lake Blue,JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA,2023-03-03 16:34:52
864397061805458,OPPO A57 (4+64GB),Glowing Green,JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA,2023-03-03 16:35:44
865399060089976,OPPO A16K & E (3+32GB),Midnight Black,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-03 16:44:41
864397064165538,OPPO A57 (4+64GB),Gold,SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA,2023-03-03 17:20:29
866194067924070,OPPO A78 5G (8+128GB),Glowing Blue,PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA,2023-03-03 17:30:39
866102051982616,OPPO A55 (4+128GB),Mint Green,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-03 17:55:40
866194067521017,OPPO A78 5G (8+128GB),Glowing Black,S.M TRADER (KASNA) ! GREATER NOIDA,2023-03-03 17:58:50
860109066592476,OPPO A17K (3+64GB),Navy Blue,BRS ELECTRONICS (KASNA) ! GREATER NOIDA,2023-03-03 18:12:27
866102052593131,OPPO A55 (4+128GB),Rainbow Blue,BRS ELECTRONICS (KASNA) ! GREATER NOIDA,2023-03-03 18:13:04
867443062256577,OPPO A77 (4+128GB),Sky Blue,Jai Ambey Communication ! GREATER NOIDA,2023-03-03 18:18:13
863534060399197,OPPO F21s Pro (8+128GB),Starlight Black,Jai Ambey Communication ! GREATER NOIDA,2023-03-03 18:23:06
866102052025118,OPPO A55 (4+128GB),Starry Black,Noor Communication ! GREATER NOIDA,2023-03-03 18:35:27
864397065543691,OPPO A57 (4+64GB),Glowing Black,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-03 19:06:24
864397064046357,OPPO A57 (4+64GB),Glowing Green,SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA,2023-03-03 19:11:26
867426064401317,OPPO Reno8 T 5G (8+128GB),Sunrise Gold,Noor Communication ! GREATER NOIDA,2023-03-03 19:16:35
866102053168396,OPPO A55 (4+128GB),Mint Green,VISHAL MOBILE HOUSE ! GREATER NOIDA,2023-03-03 19:31:50
861950056818234,OPPO F21 Pro (8+128GB),Sunset Orange,VISHAL MOBILE HOUSE ! GREATER NOIDA,2023-03-03 19:32:28
864463066077236,OPPO A77s (8+128GB),Sunset Orange,VISHAL MOBILE HOUSE ! GREATER NOIDA,2023-03-03 19:33:01
862611060398899,OPPO A17 (4+64GB),Midnight Black,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-03 19:52:54
864397064640498,OPPO A57 (4+64GB),Glowing Black,Noor Communication ! GREATER NOIDA,2023-03-03 20:04:56
866102051819693,OPPO A55 (4+128GB),Mint Green,POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA,2023-03-03 20:29:21
864397064464139,OPPO A57 (4+64GB),Glowing Black,Anuska mobile center 2 ! GREATER NOIDA,2023-03-03 20:30:51
864397065330131,OPPO A57 (4+64GB),Gold,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-03 20:49:50
864397065448354,OPPO A57 (4+64GB),Glowing Black,AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA,2023-03-03 21:54:15
866102051980131,OPPO A55 (4+128GB),Mint Green,AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA,2023-03-03 21:54:57
860489069361818,OPPO F21s Pro (8+128GB),Dawnlight Gold,Mobile World (noida) ! GREATER NOIDA,2023-03-03 22:49:18
864397066467619,OPPO A57 (4+64GB),Glowing Green,M.R. COMMUNICATION (KASNA) ! GREATER NOIDA,2023-03-03 22:49:18
864397065919735,OPPO A57 (4+64GB),Glowing Green,Computer Wizard ! GREATER NOIDA,2023-03-03 22:52:22
864397065543659,OPPO A57 (4+64GB),Glowing Black,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-03 22:53:17
866194067924294,OPPO A78 5G (8+128GB),Glowing Blue,Noble Mobile Shope ! GREATER NOIDA,2023-03-03 22:53:49
862498063883378,OPPO A17 (4+64GB),Lake Blue,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-03 22:54:53
863461060925898,OPPO A77s (8+128GB),Starry Black,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-03 22:55:40
860109069033510,OPPO A17K (3+64GB),Gold,SHREE RAM MOBILE GALLERY ! GREATER NOIDA,2023-03-03 23:03:59
860150062556693,OPPO A17K (3+64GB),Blue,MAHALAXMI MOBILE STORE ! GREATER NOIDA,2023-03-03 23:04:28
864397062914010,OPPO A57 (4+64GB),Glowing Black,BHOOMI MOBILE SOLUTION ! GREATER NOIDA,2023-03-03 23:04:52
866194068453699,OPPO A78 5G (8+128GB),Glowing Blue,Royal mobile house and electronics ! GREATER NOIDA,2023-03-03 23:07:16
862611061213550,OPPO A17 (4+64GB),Lake Blue,Balaji Traders/Greater Noida ! GREATER NOIDA,2023-03-03 23:08:25
862611061866159,OPPO A17 (4+64GB),Midnight Black,S.M TRADER (KASNA) ! GREATER NOIDA,2023-03-04 06:34:49
867426064227316,OPPO Reno8 T 5G (8+128GB),Midnight Black,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA,2023-03-04 10:52:01
867443063080711,OPPO A77 (4+128GB),Sky Blue,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA,2023-03-04 11:54:53
866875066505296,OPPO F21s Pro 5G (8+128GB),Starlight Black,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-04 12:28:15
863534060038472,OPPO F21s Pro (8+128GB),Dawnlight Gold,Noor Communication ! GREATER NOIDA,2023-03-04 12:29:10
864904061539050,OPPO F21s Pro 5G (8+128GB),Dawnlight Gold,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-04 12:30:02
862498069381757,OPPO A17 (4+64GB),Midnight Black,NEW UNIVERSAL OFFICE SYSTEM ! GREATER NOIDA,2023-03-04 13:08:51
866194068453871,OPPO A78 5G (8+128GB),Glowing Blue,SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA,2023-03-04 13:32:25
862498069368838,OPPO A17 (4+64GB),Midnight Black,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-04 15:11:45
860150062630118,OPPO A17K (3+64GB),Navy Blue,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-04 15:33:31
864397065636255,OPPO A57 (4+64GB),Glowing Green,SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA,2023-03-04 15:36:22
862611063005871,OPPO A17 (4+64GB),Lake Blue,I Store ! GREATER NOIDA,2023-03-04 16:22:21
862611062994018,OPPO A17 (4+64GB),Lake Blue,I Store ! GREATER NOIDA,2023-03-04 16:31:57
866194067395818,OPPO A78 5G (8+128GB),Glowing Blue,Mobile World (noida) ! GREATER NOIDA,2023-03-04 16:32:54
862611063004619,OPPO A17 (4+64GB),Lake Blue,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-04 17:11:48
867443062256650,OPPO A77 (4+128GB),Sky Blue,Jai Ambey Communication ! GREATER NOIDA,2023-03-04 17:12:09
863461061090551,OPPO A77s (8+128GB),Starry Black,Shyam Lal & Sons ! GREATER NOIDA,2023-03-04 17:52:17
866194068451495,OPPO A78 5G (8+128GB),Glowing Blue,SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA,2023-03-04 19:25:52
864397062539031,OPPO A57 (4+64GB),Gold,POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA,2023-03-04 19:28:20
863461060294055,OPPO A77s (8+128GB),Starry Black,Noor Communication ! GREATER NOIDA,2023-03-04 19:42:53
862498068803439,OPPO A17 (4+64GB),Sunlight Orange,KASHISH COMMUNICATION ! GREATER NOIDA,2023-03-04 19:46:40
862498068842858,OPPO A17 (4+64GB),Sunlight Orange,KASHISH COMMUNICATION ! GREATER NOIDA,2023-03-04 19:49:24
867443060556697,OPPO A77 (4+128GB),Sky Blue,TOMAR ELECTRONICS ! GREATER NOIDA,2023-03-04 19:58:47
866102051980370,OPPO A55 (4+128GB),Mint Green,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-04 20:09:47
864904061369755,OPPO F21s Pro 5G (8+128GB),Dawnlight Gold,VISHAL MOBILE HOUSE ! GREATER NOIDA,2023-03-04 20:23:41
862498069824251,OPPO A17 (4+64GB),Midnight Black,VISHAL MOBILE HOUSE ! GREATER NOIDA,2023-03-04 20:24:20
862611060553576,OPPO A17 (4+64GB),Sunlight Orange,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-04 20:29:30
866102052318539,OPPO A55 (4+128GB),Starry Black,PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA,2023-03-04 20:31:11
860150061918258,OPPO A17K (3+64GB),Blue,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-04 20:31:14
864397064138410,OPPO A57 (4+64GB),Glowing Green,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA,2023-03-04 20:38:23
862498069366634,OPPO A17 (4+64GB),Midnight Black,AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA,2023-03-04 20:55:38
866102052827596,OPPO A55 (4+128GB),Starry Black,M.R. COMMUNICATION (KASNA) ! GREATER NOIDA,2023-03-04 21:01:21
862047068909991,OPPO A17 (4+64GB),Midnight Black,Dev Communication (AICHER) ! GREATER NOIDA,2023-03-04 21:01:52
866102051373030,OPPO A55 (4+128GB),Rainbow Blue,Prince Enterpirese ! GREATER NOIDA,2023-03-04 21:02:11
866102050550356,OPPO A55 (4+128GB),Starry Black,Mobile World (noida) ! GREATER NOIDA,2023-03-04 21:05:42
864397065447570,OPPO A57 (4+64GB),Glowing Black,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-04 21:07:02
864397066237277,OPPO A57 (4+64GB),Gold,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-04 21:07:12
864397065405198,OPPO A57 (4+64GB),Gold,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-04 21:07:20
867426064724932,OPPO Reno8 T 5G (8+128GB),Sunrise Gold,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-04 21:07:31
866194068267214,OPPO A78 5G (8+128GB),Glowing Black,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-04 21:07:42
864397065447737,OPPO A57 (4+64GB),Glowing Black,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-04 21:07:54
864397065903473,OPPO A57 (4+64GB),Glowing Green,Noor Communication ! GREATER NOIDA,2023-03-04 21:09:25
862611064306310,OPPO A17 (4+64GB),Lake Blue,BRS ELECTRONICS (KASNA) ! GREATER NOIDA,2023-03-04 21:25:06
864397065081353,OPPO A57 (4+64GB),Glowing Green,BRS ELECTRONICS (KASNA) ! GREATER NOIDA,2023-03-04 21:25:51
866102051820394,OPPO A55 (4+128GB),Mint Green,BRS ELECTRONICS (KASNA) ! GREATER NOIDA,2023-03-04 21:26:24
867443063086395,OPPO A77 (4+128GB),Sky Blue,Noor Communication ! GREATER NOIDA,2023-03-04 21:52:23
863461060553138,OPPO A77s (8+128GB),Starry Black,Jai Ambey Communication ! GREATER NOIDA,2023-03-04 21:52:37
867426063932890,OPPO Reno8 T 5G (8+128GB),Midnight Black,Noor Communication ! GREATER NOIDA,2023-03-04 21:53:19
862611063947718,OPPO A17 (4+64GB),Midnight Black,Noble Mobile Shope ! GREATER NOIDA,2023-03-04 22:04:24
864904060214010,OPPO F21s Pro 5G (8+128GB),Dawnlight Gold,Noor Communication ! GREATER NOIDA,2023-03-04 22:23:26
864397064934636,OPPO A57 (4+64GB),Glowing Green,KASHISH COMMUNICATION ! GREATER NOIDA,2023-03-05 10:12:27
