IMEI 1,Product Model,Distributor
866102052049290,OPPO A55 (4+128GB),PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA
864463066072153,OPPO A77s (8+128GB),AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA
864397066103339,OPPO A57 (4+64GB),Jai Ambey Communication ! GREATER NOIDA
862106054554615,OPPO A16 (4+64GB),KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
866875065371971,OPPO F21s Pro 5G (8+128GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
860109068770674,OPPO A17K (3+64GB),Tanish Telecom(Surajpur) ! GREATER NOIDA
864397061329814,OPPO A57 (4+64GB),V.K Mobile Point (HALDONI) ! GREATER NOIDA
862047069239018,OPPO A17 (4+64GB),Tanish Telecom(Surajpur) ! GREATER NOIDA
864463068346993,OPPO A77s (8+128GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
860150062215431,OPPO A17K (3+64GB),Shyam Lal & Sons ! GREATER NOIDA
864397063304559,OPPO A57 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
864397063332337,OPPO A57 (4+64GB),KRISHNA TELECOM (GN) ! GREATER NOIDA
860150062353752,OPPO A17K (3+64GB),Tanish Telecom(Surajpur) ! GREATER NOIDA
862498068067894,OPPO A17 (4+64GB),Sanjay Communication(Sec-93) ! GREATER NOIDA
864904060191473,OPPO F21s Pro 5G (8+128GB),Mobile World (noida) ! GREATER NOIDA
867443061513911,OPPO A77 (4+128GB),Noor Communication ! GREATER NOIDA
862498069822594,OPPO A17 (4+64GB),Tanish Telecom(Surajpur) ! GREATER NOIDA
862498069824830,OPPO A17 (4+64GB),Tanish Telecom(Surajpur) ! GREATER NOIDA
860150062794195,OPPO A17K (3+64GB),Tanish Telecom(Surajpur) ! GREATER NOIDA
864397065919735,OPPO A57 (4+64GB),Computer Wizard ! GREATER NOIDA
862611061988912,OPPO A17 (4+64GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
864397065330131,OPPO A57 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
866194067229678,OPPO A78 5G (8+128GB),Computer Wizard ! GREATER NOIDA
862611063961339,OPPO A17 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
866194067624753,OPPO A78 5G (8+128GB),KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
867426064725012,OPPO Reno8 T 5G (8+128GB),S.M TRADER (KASNA) ! GREATER NOIDA
867426064725137,OPPO Reno8 T 5G (8+128GB),Jai Ambey Communication ! GREATER NOIDA
866194067963110,OPPO A78 5G (8+128GB),Noor Communication ! GREATER NOIDA
866194067924336,OPPO A78 5G (8+128GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
864463068372312,OPPO A77s (8+128GB),SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA
860109066400498,OPPO A17K (3+64GB),Noor Communication ! GREATER NOIDA
860109067557916,OPPO A17K (3+64GB),SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
864397063276856,OPPO A57 (4+64GB),NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA
866102051580535,OPPO A55 (4+128GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
864904061332811,OPPO F21s Pro 5G (8+128GB),NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA
864463068375638,OPPO A77s (8+128GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
866875066743392,OPPO F21s Pro 5G (8+128GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
866102050122958,OPPO A55 (4+128GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
864397064944379,OPPO A57 (4+64GB),Anuska mobile center 2 ! GREATER NOIDA
864904060508692,OPPO F21s Pro 5G (8+128GB),Noble Mobile Shope ! GREATER NOIDA
867443062255991,OPPO A77 (4+128GB),POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
862611061953916,OPPO A17 (4+64GB),S.M TRADER (KASNA) ! GREATER NOIDA
864397065991056,OPPO A57 (4+64GB),KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
866102051819693,OPPO A55 (4+128GB),POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
860150065178479,OPPO A17K (3+64GB),POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
867426064606097,OPPO Reno8 T 5G (8+128GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
863581066595278,OPPO A57 (4+64GB),Tanish Telecom(Surajpur) ! GREATER NOIDA
862498069781378,OPPO A17 (4+64GB),NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA
867443062815851,OPPO A77 (4+128GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
862611061213550,OPPO A17 (4+64GB),Balaji Traders/Greater Noida ! GREATER NOIDA
862611061866159,OPPO A17 (4+64GB),S.M TRADER (KASNA) ! GREATER NOIDA
864463066077236,OPPO A77s (8+128GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
862611060435774,OPPO A17 (4+64GB),Royal mobile house and electronics ! GREATER NOIDA
864397065902897,OPPO A57 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
865399060089976,OPPO A16K & E (3+32GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
864397066292116,OPPO A57 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
866194067924294,OPPO A78 5G (8+128GB),Noble Mobile Shope ! GREATER NOIDA
867443062816610,OPPO A77 (4+128GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
866102052049373,OPPO A55 (4+128GB),Noble Mobile Shope ! GREATER NOIDA
867443061404194,OPPO A77 (4+128GB),Shyam Lal & Sons ! GREATER NOIDA
863581063926898,OPPO A57 (4+64GB),JAI AMBEY COMMUNICATION ENTERPRISES ! GREATER NOIDA
864397065099579,OPPO A57 (4+64GB),KRISHNA TELECOM (GN) ! GREATER NOIDA
862611060413854,OPPO A17 (4+64GB),SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA
866102052593131,OPPO A55 (4+128GB),BRS ELECTRONICS (KASNA) ! GREATER NOIDA
864397066467619,OPPO A57 (4+64GB),M.R. COMMUNICATION (KASNA) ! GREATER NOIDA
866194067230031,OPPO A78 5G (8+128GB),Jai Ambey Communication ! GREATER NOIDA
866102052574032,OPPO A55 (4+128GB),Noor Communication ! GREATER NOIDA
862611061376118,OPPO A17 (4+64GB),JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA
867426064654154,OPPO Reno8 T 5G (8+128GB),Jai Ambey Communication ! GREATER NOIDA
864397061805458,OPPO A57 (4+64GB),JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA
866102052005995,OPPO A55 (4+128GB),Sanjay Communication(Sec-93) ! GREATER NOIDA
864904061718837,OPPO F21s Pro 5G (8+128GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
864397064165538,OPPO A57 (4+64GB),SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA
863461060925898,OPPO A77s (8+128GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
866102051982616,OPPO A55 (4+128GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
860150062739471,OPPO A17K (3+64GB),POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
860474069327654,OPPO A16K & E (3+32GB),PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA
864397062914010,OPPO A57 (4+64GB),BHOOMI MOBILE SOLUTION ! GREATER NOIDA
867443062256577,OPPO A77 (4+128GB),Jai Ambey Communication ! GREATER NOIDA
863534060399197,OPPO F21s Pro (8+128GB),Jai Ambey Communication ! GREATER NOIDA
861950056818234,OPPO F21 Pro (8+128GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
862498063883378,OPPO A17 (4+64GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
862498065241799,OPPO A17 (4+64GB),Tanish Telecom(Surajpur) ! GREATER NOIDA
867443063080711,OPPO A77 (4+128GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
860150064258876,OPPO A17K (3+64GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
864397064046357,OPPO A57 (4+64GB),SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA
864397065543691,OPPO A57 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
867443061344275,OPPO A77 (4+128GB),Shyam Lal & Sons ! GREATER NOIDA
866194067924070,OPPO A78 5G (8+128GB),PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA
866102053168396,OPPO A55 (4+128GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
866194068453699,OPPO A78 5G (8+128GB),Royal mobile house and electronics ! GREATER NOIDA
860150062556693,OPPO A17K (3+64GB),MAHALAXMI MOBILE STORE ! GREATER NOIDA
862611060398899,OPPO A17 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
862888054617191,OPPO F21 Pro 5G (8+128GB),Noble Mobile Shope ! GREATER NOIDA
860109069033510,OPPO A17K (3+64GB),SHREE RAM MOBILE GALLERY ! GREATER NOIDA
864397064464139,OPPO A57 (4+64GB),Anuska mobile center 2 ! GREATER NOIDA
864397065543659,OPPO A57 (4+64GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
862611061227212,OPPO A17 (4+64GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
867426064401317,OPPO Reno8 T 5G (8+128GB),Noor Communication ! GREATER NOIDA
860109066951656,OPPO A17K (3+64GB),Jai Ambey Communication ! GREATER NOIDA
864397064640498,OPPO A57 (4+64GB),Noor Communication ! GREATER NOIDA
860109065830190,OPPO A17K (3+64GB),POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
864397065448354,OPPO A57 (4+64GB),AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA
864397065442613,OPPO A57 (4+64GB),OM COMMUNICATION ! GREATER NOIDA
866102052025118,OPPO A55 (4+128GB),Noor Communication ! GREATER NOIDA
866194067521017,OPPO A78 5G (8+128GB),S.M TRADER (KASNA) ! GREATER NOIDA
862498068803173,OPPO A17 (4+64GB),Royal mobile house and electronics ! GREATER NOIDA
862611061203718,OPPO A17 (4+64GB),Mobile World (noida) ! GREATER NOIDA
864397065442696,OPPO A57 (4+64GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
863461060294055,OPPO A77s (8+128GB),Noor Communication ! GREATER NOIDA
867426063932890,OPPO Reno8 T 5G (8+128GB),Noor Communication ! GREATER NOIDA
862680056951219,OPPO A55 (4+64GB),Ayush Communication ! GREATER NOIDA
867426064227316,OPPO Reno8 T 5G (8+128GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
866875066505296,OPPO F21s Pro 5G (8+128GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
864397066290219,OPPO A57 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
862498069381757,OPPO A17 (4+64GB),NEW UNIVERSAL OFFICE SYSTEM ! GREATER NOIDA
860150064449756,OPPO A17K (3+64GB),JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA
862498068842775,OPPO A17 (4+64GB),Royal mobile house and electronics ! GREATER NOIDA
864904061539050,OPPO F21s Pro 5G (8+128GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
866194068453871,OPPO A78 5G (8+128GB),SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
866102051373030,OPPO A55 (4+128GB),Prince Enterpirese ! GREATER NOIDA
864904061538953,OPPO F21s Pro 5G (8+128GB),V.K Mobile Point (HALDONI) ! GREATER NOIDA
860150062630118,OPPO A17K (3+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
862498068842858,OPPO A17 (4+64GB),KASHISH COMMUNICATION ! GREATER NOIDA
862498069374679,OPPO A17 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
862498069824251,OPPO A17 (4+64GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
862611061214798,OPPO A17 (4+64GB),BRS ELECTRONICS (KASNA) ! GREATER NOIDA
862611062216537,OPPO A17 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
864904061369755,OPPO F21s Pro 5G (8+128GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
862498069368838,OPPO A17 (4+64GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
864397065405198,OPPO A57 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
864397065636255,OPPO A57 (4+64GB),SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
864397065447570,OPPO A57 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
862611062994018,OPPO A17 (4+64GB),I Store ! GREATER NOIDA
862611063005871,OPPO A17 (4+64GB),I Store ! GREATER NOIDA
866194067395818,OPPO A78 5G (8+128GB),Mobile World (noida) ! GREATER NOIDA
866102052827596,OPPO A55 (4+128GB),M.R. COMMUNICATION (KASNA) ! GREATER NOIDA
862611063004619,OPPO A17 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
862047068909991,OPPO A17 (4+64GB),Dev Communication (AICHER) ! GREATER NOIDA
863461061090551,OPPO A77s (8+128GB),Shyam Lal & Sons ! GREATER NOIDA
866206058009339,OPPO F19s (6+128GB),Royal mobile house and electronics ! GREATER NOIDA
863581068967293,OPPO A57 (4+64GB),Anupam telecom ! GREATER NOIDA
864397062539031,OPPO A57 (4+64GB),POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
866102050550356,OPPO A55 (4+128GB),Mobile World (noida) ! GREATER NOIDA
862498068803439,OPPO A17 (4+64GB),KASHISH COMMUNICATION ! GREATER NOIDA
867426064653792,OPPO Reno8 T 5G (8+128GB),Anupam telecom ! GREATER NOIDA
860035069187073,OPPO A16K & E (4+64GB),Anuska mobile center 2 ! GREATER NOIDA
863581066588398,OPPO A57 (4+64GB),SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
860150061918258,OPPO A17K (3+64GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
866875069067013,OPPO F21s Pro 5G (8+128GB),Anupam telecom ! GREATER NOIDA
864397064138410,OPPO A57 (4+64GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
866102051980370,OPPO A55 (4+128GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
867443062818632,OPPO A77 (4+128GB),Shyam Lal & Sons ! GREATER NOIDA
862611064306310,OPPO A17 (4+64GB),BRS ELECTRONICS (KASNA) ! GREATER NOIDA
866102052318539,OPPO A55 (4+128GB),PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA
863534060062159,OPPO F21s Pro (8+128GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
864397065480878,OPPO A57 (4+64GB),Royal mobile house and electronics ! GREATER NOIDA
864397065447737,OPPO A57 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
867426064724932,OPPO Reno8 T 5G (8+128GB),KGAD MOBIWORLD ! GREATER NOIDA
866194068267214,OPPO A78 5G (8+128GB),KGAD MOBIWORLD ! GREATER NOIDA
866194068451495,OPPO A78 5G (8+128GB),SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA
864397066237277,OPPO A57 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
860109064338831,OPPO A17K (3+64GB),KGAD MOBIWORLD ! GREATER NOIDA
867443060556697,OPPO A77 (4+128GB),TOMAR ELECTRONICS ! GREATER NOIDA
862498069366634,OPPO A17 (4+64GB),AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA
860150064708250,OPPO A17K (3+64GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
862611060553576,OPPO A17 (4+64GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
863461060553138,OPPO A77s (8+128GB),Jai Ambey Communication ! GREATER NOIDA
860109066721257,OPPO A17K (3+64GB),KGAD MOBIWORLD ! GREATER NOIDA
867443063086395,OPPO A77 (4+128GB),Noor Communication ! GREATER NOIDA
864397065447554,OPPO A57 (4+64GB),OM COMMUNICATION ! GREATER NOIDA
864397065903473,OPPO A57 (4+64GB),Noor Communication ! GREATER NOIDA
864904060214010,OPPO F21s Pro 5G (8+128GB),Noor Communication ! GREATER NOIDA
864397065078334,OPPO A57 (4+64GB),NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA
864397065636156,OPPO A57 (4+64GB),OM COMMUNICATION ! GREATER NOIDA
866194068451453,OPPO A78 5G (8+128GB),KGAD MOBIWORLD ! GREATER NOIDA
864397064934636,OPPO A57 (4+64GB),KASHISH COMMUNICATION ! GREATER NOIDA
862498066321152,OPPO A17 (4+64GB),SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
866102051820394,OPPO A55 (4+128GB),BRS ELECTRONICS (KASNA) ! GREATER NOIDA
862888052193351,OPPO F21 Pro 5G (8+128GB),KGAD MOBIWORLD ! GREATER NOIDA
864463068372031,OPPO A77s (8+128GB),Noor Communication ! GREATER NOIDA
864397063799311,OPPO A57 (4+64GB),KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
866102051980131,OPPO A55 (4+128GB),AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA
862047067622033,OPPO A17 (4+64GB),Noor Communication ! GREATER NOIDA
866102051980495,OPPO A55 (4+128GB),Royal mobile house and electronics ! GREATER NOIDA
862611060428977,OPPO A17 (4+64GB),AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA
866102052646079,OPPO A55 (4+128GB),SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA
863581066586954,OPPO A57 (4+64GB),Anupam telecom ! GREATER NOIDA
864397065082773,OPPO A57 (4+64GB),NEW RADHEY ELECTRONICS & MOBILE CENTER ! GREATER NOIDA
864397065990553,OPPO A57 (4+64GB),Noor Communication ! GREATER NOIDA
866194066979018,OPPO A78 5G (8+128GB),SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA
867443062256056,OPPO A77 (4+128GB),Noor Communication ! GREATER NOIDA
862611061908191,OPPO A17 (4+64GB),SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA
866194068453632,OPPO A78 5G (8+128GB),KRISHNA TELECOM (GN) ! GREATER NOIDA
862611064306476,OPPO A17 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
866875066743632,OPPO F21s Pro 5G (8+128GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
862498063878477,OPPO A17 (4+64GB),Hardika Enterprises Private Limited
862498069784893,OPPO A17 (4+64GB),SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA
867426064646358,OPPO Reno8 T 5G (8+128GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
866194066726377,OPPO A78 5G (8+128GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
866194067394415,OPPO A78 5G (8+128GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
860109068777414,OPPO A17K (3+64GB),V.K Mobile Point (HALDONI) ! GREATER NOIDA
867443062255579,OPPO A77 (4+128GB),KGAD MOBIWORLD ! GREATER NOIDA
860109065839258,OPPO A17K (3+64GB),Shyam Lal & Sons ! GREATER NOIDA
864397065099553,OPPO A57 (4+64GB),Balaji Traders/Greater Noida ! GREATER NOIDA
866102052025050,OPPO A55 (4+128GB),KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
867443062256650,OPPO A77 (4+128GB),Jai Ambey Communication ! GREATER NOIDA
863534060370511,OPPO F21s Pro (8+128GB),AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA
862498068837551,OPPO A17 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
862498069391251,OPPO A17 (4+64GB),Jai Ambey Communication ! GREATER NOIDA
862611061374576,OPPO A17 (4+64GB),Royal mobile house and electronics ! GREATER NOIDA
862498064727111,OPPO A17 (4+64GB),ARISH MOBILE CENTER ! GREATER NOIDA
866194068453459,OPPO A78 5G (8+128GB),AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA
860150062793932,OPPO A17K (3+64GB),S.M TRADER (KASNA) ! GREATER NOIDA
864397063892538,OPPO A57 (4+64GB),Mobile World (noida) ! GREATER NOIDA
864463068823678,OPPO A77s (8+128GB),SHREE RAM MOBILE GALLERY ! GREATER NOIDA
864463068356638,OPPO A77s (8+128GB),Computer Wizard ! GREATER NOIDA
860150062629433,OPPO A17K (3+64GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
866102052415095,OPPO A55 (4+128GB),I Store ! GREATER NOIDA
